torneo,id_partido,fase,grupo,jornada,fecha,equipo_local,equipo_visitante,goles_local,goles_visitante,anfitrion_local,estadio,ciudad,fuente
2018,M-2018-18,Fase de grupos,G,2,2018-06-20,Portugal,Morocco,1.0,0.0,False,Luzhniki Stadium,Moscow,https://github.com/jfjelstul/worldcup
2022,M-2022-01,Fase de grupos,G,1,2022-11-20,Qatar,Ecuador,,2.0,True,Al Bayt Stadium,Al Khor,https://github.com/jfjelstul/worldcup
2022,M-2022-02,Fase de grupos,B,1,2022-11-21,England,Iran,6.0,2.0,False,Khalifa International Stadium,Al Rayyan,https://github.com/jfjelstul/worldcup
2022,M-2022-03,Fase de grupos,G,1,2022-11-21,Senegal,Netherlands,0.0,2.0,False,Al Thumama Stadium,Doha,https://github.com/jfjelstul/worldcup
2022,M-2022-04,Fase de grupos,B,1,2022-11-21,United States,Wales,1.0,1.0,False,Ahmad bin Ali Stadium,Al Rayyan,https://github.com/jfjelstul/worldcup
2022,M-2022-05,Fase de grupos,G,1,2022-11-22,Argentina,Saudi Arabia,1.0,2.0,False,Lusail Stadium,Lusail,https://github.com/jfjelstul/worldcup
2022,M-2022-06,Fase de grupos,D,1,2022-11-22,Denmark,Tunisia,0.0,0.0,False,Education City Stadium,Al Rayyan,https://github.com/jfjelstul/worldcup
2022,M-2022-07,Fase de grupos,G,1,2022-11-22,Mexico,Poland,0.0,0.0,False,Stadium 974,Doha,https://github.com/jfjelstul/worldcup
2022,M-2022-08,Fase de grupos,D,1,2022-11-22,France,Australia,4.0,1.0,False,Al Janoub Stadium,Al Wakrah,https://github.com/jfjelstul/worldcup
2022,M-2022-09,Fase de grupos,G,1,2022-11-23,Morocco,Croatia,0.0,0.0,False,Al Bayt Stadium,Al Khor,https://github.com/jfjelstul/worldcup
2022,M-2022-10,Fase de grupos,E,1,2022-11-23,Germany,Japan,1.0,2.0,False,Khalifa International Stadium,Al Rayyan,https://github.com/jfjelstul/worldcup
2022,M-2022-11,Fase de grupos,G,1,2022-11-23,Spain,Costa Rica,7.0,0.0,False,Al Thumama Stadium,Doha,https://github.com/jfjelstul/worldcup
2022,M-2022-12,Fase de grupos,,1,2022-11-23,Belgium,Canada,1.0,0.0,False,Ahmad bin Ali Stadium,Al Rayyan,https://github.com/jfjelstul/worldcup
2022,M-2022-13,Fase de grupos,G,1,2022-11-24,Switzerland,Cameroon,,0.0,False,Al Janoub Stadium,Al Wakrah,https://github.com/jfjelstul/worldcup
2022,M-2022-14,Fase de grupos,H,1,2022-11-24,Uruguay,South Korea,0.0,0.0,False,Education City Stadium,Al Rayyan,https://github.com/jfjelstul/worldcup
2022,M-2022-15,Fase de grupos,G,1,2022-11-24,Portugal,Ghana,3.0,2.0,False,Stadium 974,Doha,https://github.com/jfjelstul/worldcup
2022,M-2022-16,Fase de grupos,G,1,2022-11-24,Brazil,Serbia,2.0,0.0,False,Lusail Stadium,Lusail,https://github.com/jfjelstul/worldcup
2022,M-2022-17,Fase de grupos,G,2,2022-11-25,Wales,Iran,0.0,2.0,False,Ahmad bin Ali Stadium,Al Rayyan,https://github.com/jfjelstul/worldcup
2022,M-2022-18,Fase de grupos,A,2,2022-11-25,Qatar,Senegal,1.0,3.0,True,Al Thumama Stadium,Doha,https://github.com/jfjelstul/worldcup
2022,M-2022-19,Fase de grupos,G,2,2022-11-25,Netherlands,Ecuador,1.0,1.0,False,Khalifa International Stadium,Al Rayyan,https://github.com/jfjelstul/worldcup
2022,M-2022-20,Fase de grupos,B,2,2022-11-25,England,United States,0.0,0.0,False,Al Bayt Stadium,Al Khor,https://github.com/jfjelstul/worldcup
2022,M-2022-21,Fase de grupos,G,2,2022-11-26,Tunisia,Australia,0.0,1.0,False,Al Janoub Stadium,Al Wakrah,https://github.com/jfjelstul/worldcup
2022,M-2022-22,Fase de grupos,C,2,2022-11-26,Poland,Saudi Arabia,2.0,0.0,False,Education City Stadium,Al Rayyan,https://github.com/jfjelstul/worldcup
2022,M-2022-23,Fase de grupos,G,2,2022-11-26,France,Denmark,2.0,1.0,False,Stadium 974,Doha,https://github.com/jfjelstul/worldcup
2022,M-2022-24,Fase de grupos,C,2,2022-11-26,Argentina,Mexico,2.0,0.0,False,Lusail Stadium,Lusail,https://github.com/jfjelstul/worldcup
2022,M-2022-25,Fase de grupos,G,2,2022-11-27,Japan,Costa Rica,,1.0,False,Ahmad bin Ali Stadium,Al Rayyan,https://github.com/jfjelstul/worldcup
2022,M-2022-26,Fase de grupos,F,2,2022-11-27,Belgium,Morocco,0.0,2.0,False,Al Thumama Stadium,Doha,https://github.com/jfjelstul/worldcup
2022,M-2022-27,Fase de grupos,G,2,2022-11-27,Croatia,Canada,4.0,1.0,False,Khalifa International Stadium,Al Rayyan,https://github.com/jfjelstul/worldcup
2022,M-2022-28,Fase de grupos,E,2,2022-11-27,Spain,Germany,1.0,-2.0,False,Al Bayt Stadium,Al Khor,https://github.com/jfjelstul/worldcup
2022,M-2022-29,Fase de grupos,G,2,2022-11-28,Cameroon,Serbia,3.0,3.0,False,Al Janoub Stadium,Al Wakrah,https://github.com/jfjelstul/worldcup
2022,M-2022-30,Fase de grupos,H,2,2022-11-28,South Korea,Ghana,2.0,3.0,False,Education City Stadium,Al Rayyan,https://github.com/jfjelstul/worldcup
2022,M-2022-31,Fase de grupos,G,2,,Brazil,Switzerland,1.0,0.0,False,Stadium 974,Doha,https://github.com/jfjelstul/worldcup
2022,M-2022-32,Fase de grupos,H,2,2022-11-28,Portugal,Uruguay,2.0,0.0,False,Lusail Stadium,Lusail,https://github.com/jfjelstul/worldcup
2022,M-2022-33,Fase de grupos,G,3,2022-11-29,Ecuador,Senegal,1.0,2.0,False,Khalifa International Stadium,Al Rayyan,https://github.com/jfjelstul/worldcup
2022,M-2022-34,Fase de grupos,A,3,2022-11-29,Netherlands,Qatar,2.0,0.0,False,Al Bayt Stadium,Al Khor,https://github.com/jfjelstul/worldcup
