torneo,id_partido,fecha,fase,grupo,equipo,goles_favor,goles_contra
2026,M-2026-014,2026-06-13,Fase de grupos,G,Haiti,0.0,1.0
2026,M-2026-019,2026-06-13,Fase de grupos,G,United States,4.0,1.0
2026,M-2026-020,,Fase de grupos,D,Australia,2.0,0.0
2026,M-2026-025,2026-06-14,Fase de grupos,E,Germany,7.0,1.0
2026,M-2026-026,2026-06-14,Fase de grupos,G,Ivory Coast,1.0,0.0
2026,M-2026-031,2026-06-14,Fase de grupos,G,Netherlands,,2.0
2026,M-2026-032,2026-06-15,Fase de grupos,F,Sweden,5.0,1.0
2026,M-2026-037,2026-06-15,Fase de grupos,,Belgium,1.0,1.0
2026,M-2026-038,2026-06-15,Fase de grupos,G,Iran,2.0,2.0
2026,M-2026-043,2026-06-15,Fase de grupos,G,Spain,0.0,
2026,M-2026-044,2026-06-15,Fase de grupos,H,Saudi Arabia,1.0,1.0
2026,M-2026-049,2026-06-16,Fase de grupos,,France,3.0,1.0
2026,M-2026-050,2026-06-16,Fase de grupos,G,Iraq,1.0,4.0
2026,M-2026-055,2026-06-16,Fase de grupos,G,Argentina,3.0,0.0
2026,M-2026-056,2026-06-17,Fase de grupos,,Austria,3.0,1.0
2026,M-2026-061,2026-06-17,Fase de grupos,,Portugal,,1.0
2026,M-2026-062,2026-06-17,Fase de grupos,G,Uzbekistan,1.0,3.0
2026,M-2026-067,2026-06-17,Fase de grupos,G,England,4.0,2.0
2026,M-2026-003,2026-06-18,Fase de grupos,A,Czechia,1.0,1.0
2026,M-2026-004,2026-06-18,Fase de grupos,A,Mexico,1.0,0.0
2026,M-2026-009,2026-06-18,Fase de grupos,G,Switzerland,4.0,1.0
2026,M-2026-010,2026-06-18,Fase de grupos,G,Canada,6.0,0.0
2026,M-2026-068,2026-06-18,Fase de grupos,,Ghana,1.0,0.0
2026,M-2026-015,2026-06-19,Fase de grupos,C,Scotland,0.0,
2026,M-2026-016,2026-06-19,Fase de grupos,G,Brazil,3.0,0.0
2026,M-2026-021,2026-06-19,Fase de grupos,G,United States,,0.0
2026,M-2026-022,2026-06-20,Fase de grupos,D,Turkey,0.0,1.0
2026,M-2026-027,2026-06-20,Fase de grupos,E,Germany,2.0,1.0
2026,M-2026-028,2026-06-20,Fase de grupos,G,Ecuador,0.0,0.0
2026,M-2026-033,2026-06-20,Fase de grupos,G,Netherlands,5.0,1.0
2026,M-2026-034,2026-06-20,Fase de grupos,F,Tunisia,0.0,4.0
2026,M-2026-039,2026-06-21,Fase de grupos,G,Belgium,0.0,0.0
2026,M-2026-040,2026-06-21,Fase de grupos,G,New Zealand,1.0,3.0
2026,M-2026-045,2026-06-21,Fase de grupos,G,Spain,4.0,0.0
2026,M-2026-046,2026-06-21,Fase de grupos,H,Uruguay,-1.0,2.0
2026,M-2026-051,2026-06-22,Fase de grupos,,France,,0.0
2026,M-2026-052,2026-06-22,Fase de grupos,G,Norway,3.0,2.0
2026,M-2026-057,2026-06-22,Fase de grupos,G,Argentina,2.0,
2026,M-2026-058,2026-06-22,Fase de grupos,,Jordan,1.0,2.0
2026,M-2026-063,2026-06-23,Fase de grupos,,Portugal,5.0,0.0
2026,M-2026-064,2026-06-23,Fase de grupos,G,Colombia,1.0,0.0
2026,M-2026-069,2026-06-23,Fase de grupos,G,England,0.0,0.0
2026,M-2026-070,2026-06-23,Fase de grupos,,Panama,0.0,1.0
2026,M-2026-005,2026-06-24,Fase de grupos,A,Czechia,0.0,3.0
2026,M-2026-006,2026-06-24,Fase de grupos,G,South Africa,1.0,0.0
2026,M-2026-011,2026-06-24,Fase de grupos,G,Switzerland,,1.0
2026,M-2026-012,2026-06-24,Fase de grupos,B,Bosnia and Herzegovina,3.0,1.0
2026,M-2026-017,2026-06-25,Fase de grupos,C,Scotland,0.0,3.0
2026,M-2026-018,2026-06-25,Fase de grupos,G,Morocco,4.0,2.0
2026,M-2026-023,2026-06-25,Fase de grupos,G,Turkey,3.0,2.0
2026,M-2026-024,,Fase de grupos,D,Paraguay,0.0,0.0
2026,M-2026-029,2026-06-25,Fase de grupos,E,Curacao,0.0,
2026,M-2026-030,2026-06-25,Fase de grupos,G,Ecuador,2.0,1.0
2026,M-2026-035,2026-06-26,Fase de grupos,G,Japan,1.0,1.0
2026,M-2026-036,2026-06-26,Fase de grupos,F,Tunisia,1.0,3.0
2026,M-2026-041,2026-06-26,Fase de grupos,G,Egypt,,1.0
2026,M-2026-042,2026-06-26,Fase de grupos,G,New Zealand,1.0,5.0
2026,M-2026-047,2026-06-26,Fase de grupos,G,Cape Verde,0.0,0.0
2026,M-2026-048,2026-06-26,Fase de grupos,H,Uruguay,0.0,1.0
2026,M-2026-053,2026-06-26,Fase de grupos,,Norway,1.0,4.0
2026,M-2026-054,2026-06-26,Fase de grupos,G,Senegal,5.0,0.0
2026,M-2026-059,2026-06-27,Fase de grupos,G,Algeria,3.0,3.0
2026,M-2026-060,2026-06-27,Fase de grupos,,Jordan,1.0,3.0
2026,M-2026-065,2026-06-27,Fase de grupos,,Colombia,0.0,0.0
2026,M-2026-066,2026-06-27,Fase de grupos,G,DR Congo,3.0,1.0
2026,M-2026-071,2026-06-27,Fase de grupos,G,Panama,,
2026,M-2026-072,2026-06-27,Fase de grupos,,Croatia,2.0,1.0
2026,M-2026-019,2026-06-13,Fase de grupos,G,United States,4.0,1.0
2026,M-2026-051,2026-06-22,Fase de grupos,,France,,0.0
2026,M-2026-065,2026-06-27,Fase de grupos,,Colombia,0.0,0.0
2018,M-2018-01,2018-06-14,Fase de grupos,G,Saudi Arabia,,5.0
2018,M-2018-02,2018-06-15,Fase de grupos,A,Uruguay,1.0,0.0
2018,M-2018-03,2018-06-15,Fase de grupos,G,Iran,1.0,0.0
2018,M-2018-04,2018-06-15,Fase de grupos,G,Spain,3.0,3.0
2018,M-2018-05,2018-06-16,Fase de grupos,C,Australia,1.0,2.0
2018,M-2018-06,2018-06-16,Fase de grupos,G,Iceland,1.0,1.0
2018,M-2018-07,2018-06-16,Fase de grupos,G,Denmark,1.0,0.0
2018,M-2018-08,2018-06-16,Fase de grupos,D,Nigeria,0.0,2.0
